,Date,Close,High,Low,Open,Volume
120,2020-06-30,20635.306640625,20974.331308515306,20522.298417994898,20861.323085885204,3345935
121,2020-07-01,20883.92578125,20929.12944477868,20703.112980124166,20793.518454192646,18851468
122,2020-07-02,20861.326171875,20929.130744885562,20770.91883920159,20929.130744885562,1131590
123,2020-07-03,20906.5234375,21019.53165226499,20838.718879238724,21019.53165226499,1420310
124,2020-07-06,21155.146484375,21222.95105501633,20929.13001357795,21019.535490103415,4581605
125,2020-07-07,21448.96484375,21652.380383227028,21245.54930427297,21245.54930427297,5834365
126,2020-07-08,21561.974609375,21652.381934059846,21381.161812994134,21381.161812994134,3174644
127,2020-07-09,21855.796875,21878.39963394788,21607.179497495814,21652.383162402646,6503993
128,2020-07-10,21607.17578125,21810.589458861978,21471.564809853407,21742.784899657985,11484798
129,2020-07-13,21991.404296875,22127.01341657476,21584.573231798462,21697.58144921114,8467293
130,2020-07-14,21946.203125,22081.81226005923,21833.1948947877,21833.1948947877,4994193
131,2020-07-15,21968.8046875,22127.016585131187,21878.399212417105,22014.008351535897,3182921
132,2020-07-16,21968.8046875,22036.61111004829,21878.399212417105,21946.2037819765,2225843
133,2020-07-17,21742.787109375,21923.599903291168,21742.787109375,21923.599903291168,2755941
134,2020-07-20,21426.365234375,21787.990823069882,21403.762476963566,21742.78716123582,4301880
135,2020-07-21,21607.17578125,21674.980340453993,21358.556593517216,21471.564809853407,1973357
136,2020-07-22,21426.365234375,21697.58349940176,21381.16157254094,21697.58349940176,1716590
137,2020-07-23,21584.572265625,21584.572265625,21290.751284101847,21426.362250719987,1969999
138,2020-07-24,20748.31640625,21494.170360478023,20522.299944181577,21426.365792455268,6654350
139,2020-07-27,19753.84375,20748.316950376764,19708.640085803076,20341.485825593332,6872226
140,2020-07-28,20657.91015625,20703.11382161601,19957.257975549222,20070.26621246977,4204978
141,2020-07-29,20138.0703125,20296.282196524353,19799.04564087156,20070.263895783326,3809754
142,2020-07-30,20409.2890625,20409.2890625,20160.66987472073,20160.66987472073,1456611
143,2020-07-31,20115.46875,20431.892536831845,19889.45228883121,19889.45228883121,2321801
144,2020-08-03,20748.31640625,20748.31640625,20115.468830067333,20115.468830067333,3469746
145,2020-08-04,21042.134765625,21155.14298231595,20883.92289165995,21019.53201049364,2206493
146,2020-08-05,21245.55078125,21313.35720111533,20906.526093878634,21019.534323002423,4203466
147,2020-08-06,21155.146484375,21358.56019629899,21109.942819617805,21245.551960900466,2421307
148,2020-08-07,21290.75390625,21607.177681007553,21155.144775918918,21155.144775918918,2694213
149,2020-08-10,21335.958984375,21607.179116038904,21290.755320266202,21403.76355404375,2435390
150,2020-08-11,21245.55078125,21448.96633486835,21245.55078125,21448.96633486835,2538901
151,2020-08-12,21471.56640625,21471.56640625,21200.348149269135,21290.753617266506,2588307
152,2020-08-13,21674.978515625,21674.978515625,21471.563002150084,21561.970308803036,3587069
153,2020-08-14,21607.17578125,21787.988556790184,21448.963907781614,21742.784899657985,3428966
154,2020-08-17,21245.55078125,21245.55078125,21019.534323002423,21200.34897199154,2201267
155,2020-08-18,21177.748046875,21313.3590453512,21155.147140290122,21245.55261961861,1312172
156,2020-08-19,21177.748046875,21268.155379192467,21087.34256754651,21200.350806448856,1841048
157,2020-08-20,21268.154296875,21448.96709931955,21177.74696915828,21200.349727581903,5088406
158,2020-08-21,21426.365234375,21471.567043220257,21335.95791070688,21358.558815129505,2644935
159,2020-08-24,21900.998046875,21968.802610022463,21629.777941296426,21674.98160105764,7430216
160,2020-08-25,22081.810546875,22127.01420605063,21946.201422336802,21968.80232543027,8195147
161,2020-08-26,21878.396484375,22081.810167689306,21787.9891675762,22059.209264983936,3071559
162,2020-08-27,22533.84375,22646.85197303623,21810.590751970365,21810.590751970365,7818033
163,2020-08-28,22556.4453125,23098.88364256972,22556.4453125,22692.054431770273,9306194
164,2020-08-31,22375.634765625,22737.26035504214,22307.82834624408,22556.44756033357,4073026
165,2020-09-01,22556.4453125,22827.66540402917,22307.826123186336,22375.632535810095,3886252
166,2020-09-03,22782.462890625,22827.66655031452,22556.446445166104,22782.462890625,4842885
167,2020-09-04,22601.65234375,22601.65234375,22375.635875902168,22375.635875902168,3229032
168,2020-09-07,21923.599609375,22601.650820200808,21923.599609375,22579.048063146307,9698523
169,2020-09-08,22375.634765625,22375.634765625,21923.599999370366,22036.61008067563,3699921
170,2020-09-09,22240.0234375,22375.634421185503,21968.80332311777,21991.40608022641,3128940
171,2020-09-10,22240.0234375,22511.24355188223,22194.8197762715,22375.634421185503,2111291
172,2020-09-11,22217.419921875,22240.02082333828,22081.808954129632,22149.615364496596,1830494
173,2020-09-14,22285.228515625,22375.635843830107,22194.821187419893,22262.62761006817,2366192
174,2020-09-15,22601.65234375,22601.65234375,22285.228547567473,22375.635875902168,4001854
175,2020-09-16,22827.669921875,22963.279067983807,22601.653443034327,22601.653443034327,4025780
176,2020-09-17,22601.65234375,22827.668811597832,22556.448679582652,22737.26148326314,3322429
177,2020-09-18,23144.08984375,23234.497168525908,22601.651454061026,22646.853263460154,7003128
178,2020-09-21,23144.08984375,23370.106302700944,23144.08984375,23189.293506137954,3211696
179,2020-09-22,23189.291015625,23189.291015625,22872.867265881825,22963.274580948055,3506200
180,2020-09-23,23098.884765625,23279.699404094637,22963.275639761483,23189.29208485982,3772981
181,2020-09-24,22827.669921875,23053.686400715673,22692.058922777203,22918.075401617876,3669508
182,2020-09-25,22963.27734375,22963.27734375,22601.651745953743,22918.073680778256,3774534
183,2020-09-28,23098.884765625,23189.29208485982,22872.868320526664,23008.479299378894,2754263
184,2020-09-29,22692.0546875,23234.494876671408,22692.0546875,23234.494876671408,3988759
185,2020-09-30,22601.65234375,22782.46514743049,22488.644109826084,22692.057819095793,5247666
186,2020-10-01,22963.27734375,22963.27734375,22692.057218908383,22692.057218908383,1900488
187,2020-10-02,22737.259765625,23098.885345667735,22149.617734808366,22963.2762163989,4088348
188,2020-10-05,22827.669921875,22963.279067983807,22556.449776668393,22782.46625550907,3144765
189,2020-10-06,22827.669921875,23008.48273434974,22737.262589143134,22963.279067983807,3190791
190,2020-10-07,22782.462890625,22918.07201670485,22692.055571245957,22692.055571245957,3135005
191,2020-10-08,23098.884765625,23279.699404094637,22737.259194663147,22827.666513897966,6517279
192,2020-10-09,22963.27734375,23144.09014264813,22963.27734375,23053.684669693488,2462949
193,2020-10-12,23008.48046875,23234.49692533528,22872.86948300555,23008.48046875,3254576
194,2020-10-13,22918.07421875,23053.685210848522,22827.66874367321,23008.48154681568,2652219
195,2020-10-14,23053.68359375,23234.496384209375,22782.463481566556,22963.27627202593,5057618
196,2020-10-15,23144.08984375,23234.497168525908,22918.073384799056,23144.08984375,4539528
197,2020-10-16,24048.15625,24364.58004123274,23008.481255359053,23144.090392750877,12109151
198,2020-10-19,24093.361328125,24319.377805708056,23957.752182770757,24228.972326468218,9682111
199,2020-10-20,24048.15625,24093.35991346023,23731.73431175613,24002.95443952864,6853079
200,2020-10-21,23867.341796875,24635.798463534084,23867.341796875,24048.15458520986,6936575
201,2020-10-22,24409.78125,24409.78125,23776.935584163522,23867.34104900377,5008883
202,2020-10-23,24364.578125,24635.79823144151,24183.76533836857,24500.187251726395,5554092
203,2020-10-26,23867.341796875,24635.798463534084,23867.341796875,24364.57835453742,8085672
204,2020-10-27,23550.919921875,24048.156519532844,23550.919921875,23912.54738062111,9442132
205,2020-10-28,22918.07421875,23686.53094834162,22918.07421875,23505.71814519915,7547789
206,2020-10-29,23008.48046875,23189.293263420463,22692.056688335088,22782.46401216472,5708101
207,2020-10-30,23279.701171875,23279.701171875,22827.668247352503,23234.497508824978,3085180
208,2020-11-02,23370.10546875,23370.10546875,23144.089017864342,23279.70000018899,1817794
209,2020-11-03,23867.341796875,23912.545457205902,23370.105239212582,23460.51255987438,5379008
210,2020-11-04,23957.75,24093.359132999005,23731.73354300912,23957.75,3294472
211,2020-11-05,23505.71875,24138.564503776182,23505.71875,23822.140700393622,3399906
212,2020-11-06,23686.53125,23867.344055445203,23550.92025617441,23686.53125,2072064
213,2020-11-09,24138.5625,24138.5625,23822.138722884225,23867.342384327734,4368979
214,2020-11-10,23957.75,24409.782913981766,23957.75,24409.782913981766,4791103
215,2020-11-11,23957.75,24138.562794994945,23822.139014012184,24138.562794994945,3501289
216,2020-11-12,24183.767578125,24183.767578125,23912.547446564695,23957.75111065623,2633035
217,2020-11-13,24319.375,24319.375,24183.76587029088,24319.375,2766582
218,2020-11-16,24093.361328125,24590.597949405517,23957.752182770757,24409.78513793687,7879593
219,2020-11-17,24409.78125,24454.984908914466,23957.748366832704,24228.96846733082,5279609
220,2020-11-18,24409.78125,24545.390373754715,24274.1702732566,24545.390373754715,3687937
221,2020-11-19,24907.017578125,25313.846798883074,24409.78104031461,24545.390162904412,10494935
222,2020-11-20,24952.220703125,25268.64447655178,24861.81523428075,24907.01889519726,3898237
223,2020-11-23,25268.64453125,25404.253661304305,24681.00249702966,24952.220757138268,10754852
224,2020-11-24,25133.037109375,25539.866380177034,24861.816977844013,25268.646248646048,6462100
225,2020-11-25,24952.220703125,25449.45726722904,24952.220703125,25449.45726722904,3991319
226,2020-11-26,25178.236328125,25313.847306422453,24771.40709921005,25087.830862248735,3952056
227,2020-11-27,25404.25390625,25404.25390625,25133.035643526327,25268.644774888162,15912956
228,2020-11-30,25042.626953125,25630.270813910694,25042.626953125,25630.270813910694,6076778
229,2020-12-01,24952.220703125,25042.628024958012,24771.40791244774,24861.81523428075,7193386
230,2020-12-02,25133.037109375,25178.23892047275,24861.816977844013,24861.816977844013,4525445
231,2020-12-03,25133.037109375,25178.23892047275,24907.020641930663,25087.833445288354,3416813
232,2020-12-04,25178.236328125,25268.643646989967,25042.627202816253,25042.627202816253,3188060
233,2020-12-07,25178.236328125,25313.847306422453,25087.830862248735,25268.643646989967,3264418
234,2020-12-08,25404.25390625,25585.068552050827,25087.83198207612,25178.23745198775,5088137
235,2020-12-09,25991.8984375,26127.50757219247,25404.254530192033,25449.458192752463,7402259
236,2020-12-10,25539.865234375,26082.30547310133,25539.865234375,25765.8816916795,7658294
237,2020-12-11,25765.880859375,25765.880859375,25449.45708817448,25585.068069969882,3928061
238,2020-12-14,25856.287109375,26217.912673203497,25720.67613319781,25765.87979192354,3141407
239,2020-12-15,25630.271484375,26037.100719875878,25585.06782421074,25991.897059711617,5597307
240,2020-12-16,25811.083984375,25991.89677002812,25765.88032471454,25856.28764403546,4188228
241,2020-12-17,25539.865234375,25811.085353738163,25313.8487770705,25720.678029620838,7535743
242,2020-12-18,25720.677734375,25811.085057454544,25539.864941204698,25539.864941204698,3303833
243,2020-12-21,25991.8984375,26127.50757219247,25811.0856402471,25901.491112379135,4956099
244,2020-12-22,26263.1171875,26443.929975304567,25811.084291494215,25946.693419100455,5407341
245,2020-12-23,25991.8984375,26489.135019687103,25856.289302807534,26353.524032005804,6173470
246,2020-12-24,25765.880859375,26127.506438185235,25494.660748772945,25991.897309378586,5008191
247,2020-12-25,26037.1015625,26037.1015625,25585.068652205973,25765.881445725827,3410789
248,2020-12-28,26172.708984375,26489.1327421025,25991.89620266872,26172.708984375,5787837
249,2020-12-29,26489.1328125,26579.538277099065,26037.099930538632,26172.70905393157,4602575
250,2020-12-30,26263.1171875,26624.742763109134,26263.1171875,26624.742763109134,2527339
251,2020-12-31,26715.150390625,26760.354051342987,26217.913828704623,26263.117489422613,4483826
252,2021-01-04,27212.388671875,27212.388671875,26805.557552697497,26941.168543419622,5278959
253,2021-01-05,28342.46875,28704.094323953963,27031.571875192254,27121.979195175107,6008410
254,2021-01-06,28206.857421875,28749.297629099456,28161.655615430216,28523.281184920717,17771440
255,2021-01-07,28252.0625,28432.875293824854,27980.842382768315,28297.26616170341,5346499
256,2021-01-08,28613.689453125,28794.50224386921,28297.26567958106,28478.078470325272,6144885
257,2021-01-11,29246.53515625,29246.53515625,28613.689461955582,28884.907721661217,4140525
258,2021-01-12,29743.7734375,29834.178911623818,28930.113052452387,29382.145982038102,8670590
259,2021-01-13,30060.19140625,30467.02247153648,29788.973166710522,29788.973166710522,9152526
260,2021-01-14,30014.9921875,30286.21045040544,29698.56841012527,30060.193995991714,4255329
261,2021-01-15,30105.396484375,30286.209270262607,30014.991017925553,30286.209270262607,3623379
262,2021-01-18,29969.787109375,30286.20901880397,29924.583450031234,30286.20901880397,3119245
263,2021-01-19,28026.046875,29879.382235851597,27890.437738859895,29834.17857280861,9637931
264,2021-01-20,28613.689453125,28794.50224386921,27212.387082127043,28342.469340514304,8308756
265,2021-01-21,29653.36328125,29743.770599737203,28613.688383590626,29156.126735547765,4854748
266,2021-01-22,30241.009765625,30512.22803860851,29562.960377188512,29698.569513680268,4387135
267,2021-01-25,30286.208984375,30828.64918990616,29924.583416013356,30195.80351877894,6657206
268,2021-01-26,29834.1796875,30512.22909951212,29608.163216829293,30512.22909951212,5585973
269,2021-01-27,28478.080078125,29879.382528236918,28432.87641463967,29698.569727284477,4784859
270,2021-01-28,26489.1328125,28161.65521695254,26489.1328125,27121.978476648183,22162985
271,2021-01-29,28342.46875,28342.46875,26669.94630123829,26669.94630123829,6951039
272,2021-02-01,28704.09375,29562.95771369748,28161.65539991541,29110.924828799307,4494174
273,2021-02-02,29834.1796875,29834.1796875,28478.080863475763,28523.28452820769,7312453
274,2021-02-03,31642.3125,31913.530775506428,29879.382591274993,30512.22832243811,11150542
275,2021-02-04,32772.39453125,33088.818320493905,31732.719543143783,31732.719543143783,15335562
276,2021-02-05,32953.203125,33179.2195717533,32455.968424533712,32998.40863793713,5783051
277,2021-02-08,32229.95703125,32953.208291871175,31461.50025060373,32953.208291871175,13276214
278,2021-02-09,33721.66015625,33721.66015625,31642.310305628187,32275.154139915157,8907967
279,2021-02-17,35213.37109375,35710.605791324946,34309.3053119938,34490.11624475858,6735700
280,2021-02-18,35348.9765625,35394.178364520114,34625.72178833883,35258.569252482725,8774040
281,2021-02-19,34625.7265625,35258.57411390029,34354.508301029906,34942.15033820015,11116542
282,2021-02-22,34716.13671875,35032.560520278814,34399.712917221186,34625.72938888779,7911452
283,2021-02-23,34128.49609375,34806.54553775915,33721.6649449533,34490.12172269261,7155881
284,2021-02-24,34083.2890625,34580.52376293355,33857.272615761576,34354.50731619513,6931789
285,2021-02-25,34444.91796875,34490.11978008013,33676.46123429305,34399.71245144206,4255329
286,2021-02-26,34444.91796875,34535.32529738807,33857.2758915692,33902.477702899334,6332100
287,2021-03-01,35213.37109375,35258.57290044684,34716.132690197635,34716.132690197635,4361529
288,2021-03-02,35213.37109375,35665.4039846281,34761.3382028719,35665.4039846281,5007752
289,2021-03-03,35122.96484375,35303.775782019846,34987.35571355323,35258.57397394677,12411100
290,2021-03-04,34309.30859375,35168.16894498371,33947.67928167499,35122.96713396322,8681714
291,2021-03-05,34309.30859375,34354.51040477049,33676.46100359651,34128.4939377125,6312162
292,2021-03-08,34264.1015625,34580.52534359286,34083.29062043095,34354.508886523334,11089304
293,2021-03-09,33902.4765625,34218.900349100615,33676.46010149637,33902.4765625,8463228
294,2021-03-10,34490.1171875,35032.55741257609,33902.47515449154,34309.306249792986,5577368
295,2021-03-11,34670.9296875,34851.74061402757,34399.70773874269,34580.52237124756,4199292
296,2021-03-12,34580.52734375,34851.7456255298,34490.12001449746,34806.54381389245,4329418
297,2021-03-15,34580.52734375,35032.560284034895,34399.71268524491,34625.72915538736,3780789
298,2021-03-16,36614.671875,36840.68832230275,34625.72565634484,34806.54029657802,10852932
299,2021-03-17,36524.265625,36840.68940169017,36162.6400399159,36840.68940169017,7486444
300,2021-03-18,36614.671875,36614.671875,36162.638980394506,36614.671875,4570151
301,2021-03-19,36072.234375,36388.658166232744,35891.42342713682,36162.64170192046,6135861
302,2021-03-22,35575.0,35981.82741633918,35394.18534430851,35936.6256054052,6453411
