,Date,Close,High,Low,Open,Volume
0,2020-01-02,40011.56640625,40275.96074291075,39526.8466873252,39747.17594753314,870270
1,2020-01-03,39614.9765625,40452.224643065325,39614.9765625,40320.02553668982,1207844
2,2020-01-06,38557.40234375,39438.715483145694,38557.40234375,39306.516379367255,1982797
3,2020-01-07,38689.59765625,38733.66273162692,37632.02421337247,38337.073175290825,2529103
4,2020-01-08,38337.07421875,38733.66378588048,37984.5497281958,38293.009142173716,1897570
5,2020-01-09,39086.19140625,39174.321557715724,38645.53289303374,38645.53289303374,2040337
6,2020-01-10,39438.71484375,39835.30439276807,38733.66201689776,39086.19036929574,3596527
7,2020-01-13,39394.6484375,39570.912625091754,39218.388127852224,39218.388127852224,3880278
8,2020-01-14,39394.6484375,39659.042779915646,39262.453205264166,39438.71739285592,2255442
9,2020-01-15,39350.58203125,39482.781136965554,39130.25665163049,39482.781136965554,3379031
10,2020-01-16,39438.71484375,39791.23931820425,39174.320518423374,39350.58081667864,2864741
11,2020-01-17,41641.9921875,41641.9921875,39438.71517323962,39438.71517323962,5070802
12,2020-01-20,41421.66796875,41774.19245598693,41201.338709997966,41641.993349558164,1937919
13,2020-01-21,41421.66796875,41686.06230366367,41245.4037861596,41377.602892588366,1801392
14,2020-01-22,41157.2734375,41862.322408610504,41025.078209645726,41421.6677711524,2047229
15,2020-01-30,39174.3203125,40716.61730384497,38337.07226635738,40584.41820290471,8492437
16,2020-01-31,39086.19140625,39570.91111725529,38645.53289303374,38777.731998176154,3030508
17,2020-02-03,39086.19140625,39747.175298130554,36574.451065926354,37059.17077693164,4137829
18,2020-02-04,39570.91015625,39570.91015625,38645.53195450187,39218.385681004576,3174805
19,2020-02-05,39174.3203125,39835.30418337017,39130.25523816782,39747.1740347058,2098145
20,2020-02-06,39394.6484375,40055.636232511104,39130.25797302833,39218.388127852224,2171657
21,2020-02-07,39659.04296875,40011.567467668065,39218.38831458842,39570.91281350648,2720464
22,2020-02-10,39174.3203125,39438.71463643681,38998.056137227555,39306.515535496554,1419460
23,2020-02-11,39306.515625,39438.714726241284,39174.32040170243,39218.38547613495,1280117
24,2020-02-12,39394.6484375,39570.912625091754,39262.453205264166,39570.912625091754,1457061
25,2020-02-13,39350.58203125,39438.716061041654,39130.25665163049,39306.5169553261,1546096
26,2020-02-14,39350.58203125,39570.91128881336,39218.38680347829,39218.38680347829,1083191
27,2020-02-17,39394.6484375,39614.977702503704,39262.453205264166,39350.58336008806,774770
28,2020-02-18,39394.6484375,39482.78247026787,39218.388127852224,39482.78247026787,1094636
29,2020-02-19,39438.71484375,39438.71484375,39218.38559298719,39218.38559298719,718695
30,2020-02-20,39438.71484375,39835.30439276807,39306.515742114825,39526.84499287763,1454019
31,2020-02-21,39218.38671875,39438.71597583735,39218.38671875,39438.71597583735,2290858
32,2020-02-24,38425.20703125,38777.73151062443,37896.418373216475,37896.418373216475,2367592
33,2020-02-25,37984.55078125,38337.075281577316,37808.29047005835,37896.42062565417,2770006
34,2020-02-26,37455.765625,37896.420276867495,37015.107095188534,37896.420276867495,2769375
35,2020-02-27,37015.10546875,37279.49979943063,36530.385760788675,37015.10546875,4537292
36,2020-02-28,36310.05859375,36750.71325159717,35296.55016614069,35296.55016614069,4979087
37,2020-03-02,36045.6640625,36221.92825149885,35825.33479573744,35913.46882920887,2116867
38,2020-03-03,36221.92578125,36794.77563105525,36221.92578125,36794.77563105525,2104814
39,2020-03-04,36001.59765625,36133.792884663024,35693.1382453424,36133.792884663024,1361943
40,2020-03-05,36618.515625,36838.844878499454,36221.926071056005,36221.926071056005,2035853
41,2020-03-06,37235.43359375,37764.21836111702,36133.791229009985,36574.44972608347,2565982
42,2020-03-09,34635.56640625,35649.074838712484,34635.56640625,34811.82671905527,3205875
43,2020-03-10,35208.41796875,35208.41796875,33225.46242855089,34371.16990164621,5107861
44,2020-03-11,33930.515625,35428.74371728249,32784.80813989566,35428.74371728249,4498046
45,2020-03-12,31595.037109375,32167.888905548873,31595.037109375,31727.234274329556,3610043
46,2020-03-13,31286.578125,32167.88933826578,29391.756592763668,29391.756592763668,4415119
47,2020-03-16,29568.01953125,31286.578861276554,29303.6271305342,31286.578861276554,2810580
48,2020-03-17,29744.28125,29744.28125,28025.72388945502,28025.72388945502,3119339
49,2020-03-18,30537.462890625,31154.381724571358,29964.611072654792,29964.611072654792,3612207
50,2020-03-19,29083.296875,30273.06942400824,29083.296875,29656.150611777583,2773655
51,2020-03-20,27100.345703125,29215.49456984303,27100.345703125,29083.297402115917,8118005
52,2020-03-23,25205.5234375,25778.37716831613,25205.5234375,25381.787615421796,4325722
53,2020-03-24,25558.05078125,25734.313026592168,24941.13195306643,25205.524351593707,3374999
54,2020-03-25,27320.673828125,27320.673828125,26307.163543607054,26439.360705846077,4135712
55,2020-03-26,27849.4609375,28510.444819202472,27100.344966716984,27320.6742199324,4585976
56,2020-03-27,28246.05078125,29039.231835239778,27541.001817246597,27893.526299248297,4167006
57,2020-03-30,26880.017578125,27056.27981682667,26351.23086201999,26483.426086817333,4856573
58,2020-03-31,27320.673828125,28246.05008585445,26439.360705846077,27100.34457806934,2157150
59,2020-04-01,28642.642578125,29039.232139793232,27100.345529477596,27100.345529477596,2924982
60,2020-04-03,28862.970703125,29215.495198670335,28201.9867892345,28642.64337815216,3890057
61,2020-04-06,29964.609375,30096.806537494827,29083.296251015723,29744.280124518,4756320
62,2020-04-07,30052.740234375,30405.26665568453,29435.823359770115,29964.610083276548,4151123
63,2020-04-08,29744.28125,30052.740661168984,29435.82377780295,29523.953930152984,4006508
64,2020-04-09,31286.578125,31727.23470111885,29964.61033561537,29964.61033561537,5054873
65,2020-04-10,31110.31640625,31683.1682197767,30669.659822710415,31286.57865187144,3772206
66,2020-04-13,31198.4453125,31639.101878425514,30845.92083534834,31110.315162698025,2358401
67,2020-04-14,30801.857421875,31198.446995319373,29876.47916520882,31066.251763485903,4425977
68,2020-04-15,31242.513671875,31418.77591804181,30713.72499440262,30713.72499440262,2518154
69,2020-04-16,31374.7109375,31374.7109375,30757.7921045375,30845.922258405302,2500828
70,2020-04-17,31462.83984375,31639.102083468126,31242.512528845313,31506.904918936558,4120865
71,2020-04-20,31683.16796875,31903.497228260094,31198.446312388507,31595.037816123513,3280287
72,2020-04-21,31506.90625,31506.90625,29876.4790094982,31286.578925787206,4983660
73,2020-04-22,30537.462890625,31330.643971560035,30405.267659612473,30405.267659612473,3758488
74,2020-04-23,30493.396484375,31286.577530734266,30317.134245069818,31286.577530734266,2707104
75,2020-04-24,30361.19921875,30669.65862124682,29744.280413756358,30493.396382530333,2764914
76,2020-04-27,29435.82421875,30801.857112414076,29435.82421875,30801.857112414076,5864430
77,2020-04-28,29523.953125,30184.937005487172,28730.772080621016,29435.822975053383,4624885
78,2020-04-29,29964.609375,30008.674449507656,29523.95281300786,29523.95281300786,3671682
79,2020-05-04,29700.216796875,30008.676214514835,29435.824395306554,29964.61113741542,2046215
80,2020-05-05,29435.82421875,29832.413788209906,29435.82421875,29656.151541897507,2270109
81,2020-05-06,29788.34765625,29832.41273152429,29303.626011317105,29656.150491455228,2664659
82,2020-05-07,30713.724609375,30713.724609375,29832.413389589092,29876.478465835404,5383391
83,2020-05-08,32388.21875,32696.67816085447,30757.79154346748,30845.92169572765,9159362
84,2020-05-11,32828.875,32828.875,31947.563739296897,32388.22033913446,3940679
85,2020-05-12,33313.59765625,33489.857964334784,32784.808976107764,32872.93913015016,5194059
86,2020-05-13,33313.59765625,33710.187227384704,31727.235493767243,33313.59765625,4172299
87,2020-05-14,33489.85546875,33666.119641643934,33005.13577969307,33049.200853430644,4997086
88,2020-05-15,33489.85546875,33710.18471538151,33313.59517379972,33666.119641643934,3834974
89,2020-05-18,34591.5,34811.82538254779,33401.72742246635,33622.056682958035,2580018
