,Date,Close,High,Low,Open,Volume
0,2020-01-02,8633.341796875,8633.341796875,8399.5224609375,8453.48046875,11765258
1,2020-01-03,8687.30078125,8759.2451171875,8651.328125,8705.2861328125,21772915
2,2020-01-06,8633.341796875,8723.2724609375,8579.3837890625,8633.341796875,14931115
3,2020-01-07,8525.4248046875,8705.2861328125,8489.453125,8669.314453125,14931559
4,2020-01-08,8435.494140625,8507.439453125,8327.578125,8453.48046875,18295012
5,2020-01-09,8633.341796875,8687.30078125,8489.453125,8489.453125,13130782
6,2020-01-10,8705.2861328125,8831.189453125,8651.328125,8669.314453125,29598000
7,2020-01-13,8723.2724609375,8777.2314453125,8669.314453125,8705.2861328125,15994322
8,2020-01-14,8993.064453125,9011.05078125,8705.2861328125,8723.2724609375,27558178
9,2020-01-15,9047.0224609375,9118.9677734375,8957.0927734375,9011.05078125,18490690
10,2020-01-16,9100.9814453125,9118.9677734375,8975.078125,8993.064453125,22231100
11,2020-01-17,8993.064453125,9226.8837890625,8957.0927734375,9100.9814453125,18845492
12,2020-01-20,9172.92578125,9172.92578125,8885.1474609375,8993.064453125,17398376
13,2020-01-21,9298.8291015625,9352.787109375,9190.912109375,9262.8564453125,17750564
14,2020-01-22,9460.7041015625,9496.67578125,9298.8291015625,9298.8291015625,26853747
15,2020-01-30,9100.9814453125,9316.814453125,8975.078125,9190.912109375,37680393
16,2020-01-31,8669.314453125,9100.9814453125,8669.314453125,8993.064453125,31194787
17,2020-02-03,8831.189453125,8921.1201171875,8165.70263671875,8381.5361328125,34969111
18,2020-02-04,8849.17578125,8921.1201171875,8669.314453125,8867.162109375,32448862
19,2020-02-05,8795.216796875,8993.064453125,8705.2861328125,8939.1064453125,22096332
20,2020-02-06,9065.0087890625,9065.0087890625,8741.2587890625,8759.2451171875,26220898
21,2020-02-07,8759.2451171875,9100.9814453125,8705.2861328125,9065.0087890625,22644781
22,2020-02-10,8759.2451171875,8867.162109375,8615.35546875,8633.341796875,16067739
23,2020-02-11,8489.453125,8849.17578125,8435.494140625,8795.216796875,35170489
24,2020-02-12,8561.3974609375,8687.30078125,8435.494140625,8453.48046875,27389161
25,2020-02-13,8525.4248046875,8597.3701171875,8489.453125,8543.4111328125,18032922
26,2020-02-14,8525.4248046875,8543.4111328125,8399.5224609375,8489.453125,21411746
27,2020-02-17,8543.4111328125,8579.3837890625,8489.453125,8525.4248046875,7627652
28,2020-02-18,8381.5361328125,8579.3837890625,8381.5361328125,8579.3837890625,21005156
29,2020-02-19,8363.5498046875,8435.494140625,8309.591796875,8381.5361328125,22230044
30,2020-02-20,8543.4111328125,8543.4111328125,8363.5498046875,8435.494140625,15081759
31,2020-02-21,8471.466796875,8561.3974609375,8453.48046875,8543.4111328125,12882036
32,2020-02-24,8165.70263671875,8327.578125,8165.70263671875,8183.68896484375,36810169
33,2020-02-25,8309.591796875,8309.591796875,8129.73046875,8129.73046875,15350244
34,2020-02-26,8183.68896484375,8273.619140625,8165.70263671875,8183.68896484375,12517642
35,2020-02-27,8255.6328125,8291.60546875,8165.70263671875,8165.70263671875,12331500
36,2020-02-28,8039.7998046875,8201.6748046875,8003.82763671875,8111.744140625,18908930
